,Driver_id,Order_id,Step,Point,Grid,Reposition_Point,Reposition_Grid
206,D206,Idle,2576,"(40.75026991926802, -73.97290003081406)",892a100d62fffff,"(40.75026991926802, -73.97290003081406)",892a100d62fffff
207,D207,Idle,2577,"(40.746761146867904, -74.00486482878279)",892a1072197ffff,"(40.746761146867904, -74.00486482878279)",892a1072197ffff
208,D208,Idle,2578,"(40.785127533859715, -73.95498131956944)",892a100898bffff,"(40.785127533859715, -73.95498131956944)",892a100898bffff
209,D209,Idle,2579,"(40.78420693202504, -73.98921392752565)",892a1008bc7ffff,"(40.78420693202504, -73.98921392752565)",892a1008bc7ffff
210,D210,Idle,2580,"(40.7415956561069, -74.00038052370404)",892a100d24fffff,"(40.7415956561069, -74.00038052370404)",892a100d24fffff
211,D211,Idle,2581,"(40.73677752993162, -73.98307308046714)",892a100d233ffff,"(40.73677752993162, -73.98307308046714)",892a100d233ffff
212,D212,Idle,2582,"(40.843961234816256, -73.93151825567428)",892a100ae2fffff,"(40.843961234816256, -73.93151825567428)",892a100ae2fffff
213,D213,Idle,2583,"(40.82494189238365, -73.95008629497808)",892a1008c93ffff,"(40.82494189238365, -73.95008629497808)",892a1008c93ffff
214,D214,Idle,2584,"(40.801438874807, -73.93847038880153)",892a1008d8fffff,"(40.801438874807, -73.93847038880153)",892a1008d8fffff
215,D215,Idle,2585,"(40.79098236885618, -73.93378704367494)",892a100f2dbffff,"(40.79098236885618, -73.93378704367494)",892a100f2dbffff
216,D216,Idle,2586,"(40.80908238698874, -73.94947653137997)",892a1008ddbffff,"(40.80908238698874, -73.94947653137997)",892a1008ddbffff
217,D217,Idle,2587,"(40.87862586775655, -73.92210873497136)",892a100a1cfffff,"(40.87862586775655, -73.92210873497136)",892a100a1cfffff
218,D218,Idle,2588,"(40.804365733579175, -73.92786929276134)",892a100f65bffff,"(40.804365733579175, -73.92786929276134)",892a100f65bffff
219,D219,Idle,2589,"(40.80368227776408, -73.95355416456833)",892a1008d53ffff,"(40.80368227776408, -73.95355416456833)",892a1008d53ffff
220,D220,Idle,2590,"(40.81752422890387, -73.93051227338316)",892a100ab03ffff,"(40.81752422890387, -73.93051227338316)",892a100ab03ffff
221,D221,Idle,2591,"(40.81201051296796, -73.93887430298544)",892a100ab63ffff,"(40.81201051296796, -73.93887430298544)",892a100ab63ffff
222,D222,Idle,2592,"(40.76048872668635, -73.98614194957855)",892a100d64fffff,"(40.76048872668635, -73.98614194957855)",892a100d64fffff
223,D223,Idle,2593,"(40.76916140919526, -73.95864807193213)",892a100892fffff,"(40.76916140919526, -73.95864807193213)",892a100892fffff
224,D224,Idle,2594,"(40.84913603882825, -73.93600451621927)",892a100ae77ffff,"(40.84913603882825, -73.93600451621927)",892a100ae77ffff
225,D225,Idle,2595,"(40.82752830182391, -73.95232944685671)",892a100aa67ffff,"(40.82752830182391, -73.95232944685671)",892a100aa67ffff
226,D226,Idle,2596,"(40.766462471951954, -73.96068475853083)",892a100d697ffff,"(40.766462471951954, -73.96068475853083)",892a100d697ffff
